"Tarih","PM10","temperature","temperature_min","temperature_max","winddirection","windspeed","pressure"
"","PM10 ( �g/m� )","temperature","temperature_min","temperature_max","winddirection","windspeed","pressure"
"11/29/2019 00:00:56","57.9435595833333","11.8","6","18.1","195","7","1015.8"
"11/28/2019 00:00:56","117.940595","11","7","17.6","193","3.9","1011.5"
"11/27/2019 00:00:56","75.7835858333333","13.2","11","16","195","3.9","1006.5"
"11/26/2019 00:00:56","75.8544691666667","13.5","12","14.2","195","8.8","1009.4"
"11/25/2019 00:00:56","101.15356375","12.7","8","19","195","2.9","1009.4"
"11/24/2019 00:00:56","115.99892875","14.5","12","20","195","2.9","1017.4"
"11/23/2019 00:00:56","149.256179166667","13.8","12","16","195","6","1015.4"
"11/22/2019 00:00:56","134.3345225","13.8","7.6","21","195","5.5","1017.1"
"11/21/2019 00:00:56","138.585675","12.3","6","21","195","3.3","1020"
"11/20/2019 00:00:56","117.305975","13.3","7","23","195","3.1","1022.1"
"11/19/2019 00:00:56","120.027085","13.8","10","20","195","2.3","1020.2"
"11/18/2019 00:00:56","133.288825","14.2","9","21","195","2.4","1018.4"
"11/17/2019 00:00:56","106.518469583333","15","9","21.7","195","8.5","1019.3"
"11/16/2019 00:00:56","89.9082033333333","15.3","10","22","195","4.6","1017.2"
"11/15/2019 00:00:56","94.9135845833333","16.4","14","20","195","6.9","1011.6"
"11/14/2019 00:00:56","94.3390333333334","16.8","11.7","23","195","5.2","1012.9"
"11/13/2019 00:00:56","112.143304166667","16.1","9","25.5","195","2.8","1015.8"
"11/12/2019 00:00:56","93.2065983333333","16.3","14","21","195","3.2","1017.8"
"11/11/2019 00:00:56","89.4192991666666","16.8","11","24","195","7.1","1016"
"11/10/2019 00:00:56","85.4570395833333","17.3","12.7","23.1","195","5.9","1017.4"
"11/09/2019 00:00:56","79.0039825","17.3","12","25","195","7","1015.2"
"11/08/2019 00:00:56","83.7151725","18","14","24.1","195","9.6","1015.5"
"11/07/2019 00:00:56","84.8795033333333","18.4","16","22","195","10.7","1016"
"11/06/2019 00:00:56","84.59795625","17.1","12","24","195","14.2","1016"
"11/05/2019 00:00:56","62.6309229166667","14","7","22","195","6.2","1016"
"11/04/2019 00:00:56","73.1267616666667","14.9","11","20","195","18.9","1016"
"11/03/2019 00:00:56","61.9357091666667","16.6","13.7","21","195","14.7","1016"
